Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,294,0,390.0,455.3688637380485,212.8004870028235,2087.6668600103585,2.629251700680272,2.0750316648683795,0.0,390,460,510,580,750,920,1100,1100,2100,2100,2100
POST,/api/visits/about,295,0,430.0,529.1550397694849,223.63555399351753,2290.248215998872,2.0,2.082089595701265,0.0,430,500,570,680,920,1000,1800,2000,2300,2300,2300
GET,/api/visits/home,323,1,370.0,479.90020652916667,208.75013900513295,4007.86619700375,2.653250773993808,2.279711659022063,0.007057930832885644,370,450,500,590,780,1100,1800,1900,4000,4000,4000
POST,/api/visits/home,325,2,400.0,529.1716652582489,233.52147899277043,4004.2090460046893,1.9876923076923076,2.2938275206878345,0.014115861665771287,400,460,540,600,860,1000,1800,2700,4000,4000,4000
GET,/api/visits/jobs,91,0,390.0,433.2610606818759,208.1287129985867,1218.1787349982187,1.9120879120879122,0.6422717057925936,0.0,390,450,510,570,700,770,1000,1200,1200,1200,1200
POST,/api/visits/jobs,92,1,400.0,525.642579706587,241.6689630044857,4002.9022929957137,1.9782608695652173,0.6493296366254793,0.007057930832885644,400,460,530,580,770,990,2800,4000,4000,4000,4000
GET,/api/visits/legals,69,0,370.0,455.8949974360049,214.78010099963285,1095.1005950046238,1.855072463768116,0.48699722746910945,0.0,370,410,500,660,860,990,1100,1100,1100,1100,1100
POST,/api/visits/legals,69,0,410.0,466.38343101422186,238.87078199186362,981.7455930024153,2.0,0.48699722746910945,0.0,410,490,580,660,760,860,940,980,980,980,980
GET,/api/visits/offices,67,0,370.0,449.82468319271425,222.81317099987064,2803.3645180112217,1.8656716417910448,0.47288136580333817,0.0,370,410,490,550,670,780,900,2800,2800,2800,2800
POST,/api/visits/offices,69,1,400.0,526.1669749570369,249.4060220051324,4007.535740005551,1.9710144927536233,0.48699722746910945,0.007057930832885644,400,470,510,520,850,1200,1500,4000,4000,4000,4000
GET,/img/favicon.ico,913,1,1400.0,1981.736898840751,604.254938007216,13041.274035000242,90844.2552026287,6.443890850424593,0.007057930832885644,1400,1800,2300,2600,4100,5300,7400,9200,13000,13000,13000
GET,/img/logo_fiuba.png,886,0,1200.0,1852.8560109819343,626.5530850068899,14795.67025200231,90979.4051918736,6.25332671793668,0.0,1200,1600,2000,2300,3700,5000,7100,9600,15000,15000,15000
GET,/site/about.html,327,1,150.0,282.87225565419175,23.676276992773637,6794.0427209978225,841.4189602446484,2.3079433823536055,0.007057930832885644,150,200,270,410,660,830,1500,1800,6800,6800,6800
GET,/site/home.html,359,0,170.0,310.3458765094184,25.329061012598686,3782.278282000334,669.0,2.5337971690059464,0.0,170,250,330,450,590,1200,1700,2500,3800,3800,3800
GET,/site/jobs.html,103,0,140.0,210.6511920199727,27.327640011208132,2162.0636689913226,697.0,0.7269668757872213,0.0,140,170,210,250,520,580,650,690,2200,2200,2200
GET,/site/legals.html,81,0,150.0,269.218447494585,28.583202001755126,4441.635306007811,690.0,0.5716923974637371,0.0,150,200,220,380,550,610,860,4400,4400,4400,4400
GET,/site/offices.html,77,0,140.0,202.1836514024188,27.12731499923393,934.6977090026485,693.0,0.5434606741321946,0.0,140,200,230,250,490,640,760,930,930,930,930
GET,/visits.js,853,0,1300.0,1923.48640653932,612.6120810076827,16454.23062199552,90934.39859320047,6.020415000451455,0.0,1300,1700,2000,2400,3900,5600,7200,8300,16000,16000,16000
,Aggregated,5293,7,830.0,1169.3765398925857,23.676276992773637,16454.23062199552,45685.944832798035,37.35762789846371,0.04940551583019951,830,1100,1300,1600,2500,4000,5700,7200,13000,16000,16000
