insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,textPayload,timestamp,trace
000000-4ae170bb-57af-49bd-a514-e3954a0cbd7c,gueq6z90vsvz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:18.702447804Z,api,taller3-pcuneo,us-central1,cloud_function,api 20263532 home POST,2021-10-11T21:05:14.962Z,projects/taller3-pcuneo/traces/4196a0314d95c2ccfb4cbb126621a885
000000-eb525545-38d2-4808-ad7b-58afa8f6dacc,if0sqyakbx30,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:19.947715889Z,api,taller3-pcuneo,us-central1,cloud_function,api 84978999 about POST,2021-10-11T21:05:14.911Z,projects/taller3-pcuneo/traces/71435dfbae04348ae5badc81e57cd82a
000000-ad95dd60-1661-4323-9938-1578a0216f0c,xdv24kl6z2et,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:18.631701728Z,api,taller3-pcuneo,us-central1,cloud_function,api 56975146 home POST,2021-10-11T21:05:14.911Z,projects/taller3-pcuneo/traces/087c7bb69494e4178826d21dee0b782d
000000-92d09fa0-cd1f-4735-a021-a3f8f69c9003,gueqqajzazwz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:18.702447804Z,api,taller3-pcuneo,us-central1,cloud_function,api 16800328 about GET,2021-10-11T21:05:14.861Z,projects/taller3-pcuneo/traces/2f8948c623784043fe4e616bf0096e85
000000-30f5a624-403b-434d-98fb-2866a2e7ad2b,gueqc8c0ks1t,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:18.702447804Z,api,taller3-pcuneo,us-central1,cloud_function,api 295627486 about POST,2021-10-11T21:05:14.838Z,projects/taller3-pcuneo/traces/e3e393f2294ce09c9551c5a3dcad3a36
000000-43193801-8037-463e-9d70-3bc5e972a056,if0s2vokv3cy,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:19.947715889Z,api,taller3-pcuneo,us-central1,cloud_function,api 16440035 about GET,2021-10-11T21:05:14.819Z,projects/taller3-pcuneo/traces/0299e9266dde43a1ce20de2610c69185
000000-5999edd9-ce5b-4200-a2dd-2f19c0065ffd,xdv2w1m6ki5z,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:18.631701728Z,api,taller3-pcuneo,us-central1,cloud_function,api 35411482 home POST,2021-10-11T21:05:14.782Z,projects/taller3-pcuneo/traces/f930d8a81c039e07cc37a7ad7f7154aa
000000-c088ab67-229a-4aee-a03a-a8467b455eb2,if0srnp310xr,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:19.947715889Z,api,taller3-pcuneo,us-central1,cloud_function,api 14973095 about GET,2021-10-11T21:05:14.722Z,projects/taller3-pcuneo/traces/c9baa4323ea153de77f169f11f70af45
000000-469002cd-07b1-4298-a07b-3b4eea4f6245,if0sofedi0f8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:19.947715889Z,api,taller3-pcuneo,us-central1,cloud_function,api 90474526 home POST,2021-10-11T21:05:14.701Z,projects/taller3-pcuneo/traces/4721ec2cf55e9f819f22b9b6818310c1
000000-e1f3d94d-4f7c-485b-91ca-484a57a37416,xdv2dxgvfcr7,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-11T21:05:18.631701728Z,api,taller3-pcuneo,us-central1,cloud_function,api 12812203 jobs GET,2021-10-11T21:05:14.667Z,projects/taller3-pcuneo/traces/2b9b95e2bfa972533ebbcb646308471b
