httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.status,httpRequest.userAgent,insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
,,,,,,,,,000000-2c0e4c47-bb98-4c03-84c9-8a93591c6f2b,27ddng9oi342,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:58.106760319Z,projects/taller3-pcuneo/traces/28ea16e92ee0af4869475681e3725a21
,,,,,,,,,000000-06414bb9-cba4-4224-979d-9e30533e8dcd,27ddy6txvge6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 235 ms, finished with status: 'ok'",2021-10-10T17:58:58.104139338Z,projects/taller3-pcuneo/traces/cbf383ca631df0724f15c083b0c979ea
,,,,,,,,,000000-2f5651c2-f981-4970-8a24-ab9219ef4eb8,27ddy6txvge6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.03000000000000025 about,2021-10-10T17:58:58.103Z,projects/taller3-pcuneo/traces/cbf383ca631df0724f15c083b0c979ea
,,,,,,,,,000000-7a714366-b115-483f-b23e-4a7db8768ecf,99ord5189zax,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:06.788872594Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:58.097170501Z,projects/taller3-pcuneo/traces/6a57ca066809f0d1b6b7340f11127686
,,,,,,,,,000000-4cca418f-2cd2-432e-b188-e2d133dc1330,99or1ggxjxk1,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:06.788872594Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 111 ms, finished with status: 'ok'",2021-10-10T17:58:58.094906678Z,projects/taller3-pcuneo/traces/bca4357d789d4403be9958d8b6d085c1
,,,,,,,,,000000-751ef816-9a4d-4655-b49f-9fdbd8d807c7,99or1ggxjxk1,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:06.788872594Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.029999999999999805 home,2021-10-10T17:58:58.094Z,projects/taller3-pcuneo/traces/bca4357d789d4403be9958d8b6d085c1
,,,,,,,,,000000-e670dc5c-ee2d-4e9e-9850-e32d48b7b631,ykgwzlu1x9r3,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:58.005120246Z,projects/taller3-pcuneo/traces/3a2a1d1a88bdfa82d9203c66fcacbdab
,,,,,,,,,000000-94aa908b-7c78-4f3d-b63a-91a8247934eb,ykgwfs1uella,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 127 ms, finished with status: 'ok'",2021-10-10T17:58:58.001993016Z,projects/taller3-pcuneo/traces/9b150a5f4237c5903f3230d2b0e43e74
,,,,,,,,,000000-96b47c98-a9a5-4394-8679-9e7b0d840911,ykgwfs1uella,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.02000000000000135 home,2021-10-10T17:58:58Z,projects/taller3-pcuneo/traces/9b150a5f4237c5903f3230d2b0e43e74
,,,,,,,,,000000-dbce1ff8-a07c-453f-b7b4-8178fd1454d9,99or1ggxjxk1,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:06.788872594Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.984918050Z,projects/taller3-pcuneo/traces/bca4357d789d4403be9958d8b6d085c1
,,,,,,,,,000000-b7082b4e-cb1d-4472-804d-b4b2eaf6e6b6,99orj0e32ijv,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:06.788872594Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 115 ms, finished with status: 'ok'",2021-10-10T17:58:57.980490439Z,projects/taller3-pcuneo/traces/1e471de5058ff4f26ac51ea04bd7f67b
,,,,,,,,,000000-4765ee3c-13a9-4d24-88c6-8096e3b53abb,99orj0e32ijv,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:06.788872594Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.06000000000000005 legals,2021-10-10T17:58:57.978Z,projects/taller3-pcuneo/traces/1e471de5058ff4f26ac51ea04bd7f67b
