httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
,,,,,,,,,,000000-e4018968-c183-4c71-9ba3-63705d42f571,x7s16tyjwmie,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 95 ms, finished with status code: 200",2021-10-10T17:59:09.849723191Z,projects/taller3-pcuneo/traces/ddefd61a9de3ccec38b939bb3f0ed845
,,,,,,,,,,000000-c742166d-df9f-4dc7-867f-74310c1c83f4,z1svkorjacoc,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.785297179Z,projects/taller3-pcuneo/traces/e6ad0091cfcf93172e586d336953b45f
,,,,,,,,,,000000-f06f0570-2eee-435d-9257-0e8d2e7ab899,eemmx1xjc1lq,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.784059425Z,projects/taller3-pcuneo/traces/7a45ea71576093dcbb4e9ee88aea7059
,,,,,,,,,,000000-008c9cde-30a8-425b-b869-b9f7c222ee08,x7s16tyjwmie,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.0 home POST,2021-10-10T17:59:09.783Z,projects/taller3-pcuneo/traces/ddefd61a9de3ccec38b939bb3f0ed845
,,,,,,,,,,000000-c5b97cc2-5c3b-4094-ab7c-32e40f3e0ac7,z1sv1lx235lk,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 22 ms, finished with status code: 200",2021-10-10T17:59:09.782213633Z,projects/taller3-pcuneo/traces/63d6512f8cc4b490284157de74bc8fad
,,,,,,,,,,000000-23f0533c-fc68-48c9-b4bb-a5f6f798b100,eemmdrjs0ffz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 95 ms, finished with status code: 200",2021-10-10T17:59:09.781901333Z,projects/taller3-pcuneo/traces/0679c184591b21bb362ddc0f22738a3a
,,,,,,,,,,000000-ca133c68-3d75-44a1-a012-c18f801310f9,eemmdrjs0ffz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.009999999999990905 about POST,2021-10-10T17:59:09.781Z,projects/taller3-pcuneo/traces/0679c184591b21bb362ddc0f22738a3a
,,,,,,,,,,000000-b5275d5d-59e4-47c5-80c5-a030d8331ca7,z1sv1lx235lk,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.0 about GET,2021-10-10T17:59:09.780Z,projects/taller3-pcuneo/traces/63d6512f8cc4b490284157de74bc8fad
,,,,,,,,,,000000-40499f6c-bc82-4eeb-8246-d7b6470331e8,z1sv1lx235lk,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.760324047Z,projects/taller3-pcuneo/traces/63d6512f8cc4b490284157de74bc8fad
,,,,,,,,,,000000-6fb6a75d-fadd-420d-982e-325ee079cad6,z1svdoqumvvc,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 92 ms, finished with status code: 200",2021-10-10T17:59:09.757579841Z,projects/taller3-pcuneo/traces/9aee924adcc2511a91aed1551d123b7c
